204,1,-43,0,4
229,13,-23,0,1
236,15,-45,0,2
215,7,-34,0,3
239,15,-42,0,2
220,9,-37,0,2
303,46,-35,0,1
279,32,-28,0,4
288,36,-20,0,4
254,23,-18,0,3
278,31,-8,0,1
281,32,-19,0,4
207,3,-41,0,1
267,27,-23,0,3
250,22,-22,0,1
301,44,-26,0,3
214,7,-38,0,1
249,22,-30,0,1
265,27,-16,0,4
266,27,-5,0,1
246,19,-10,0,4
93,-1,-5,0,4
100,-2,-44,0,4
253,23,-30,0,3
205,2,-46,0,2
304,46,-18,0,4
294,42,-13,0,3
305,46,-6,0,2
260,26,-22,0,2
264,27,-22,0,3
225,9,-16,0,1
237,15,-44,0,3
227,12,-28,0,2
216,7,-31,0,4
262,27,-31,0,4
235,14,-41,0,2
297,42,-9,0,4
208,3,-24,0,3
290,38,-38,0,2
286,36,-28,0,1
259,26,-17,0,3
101,0,-29,0,4
275,30,-14,0,2
206,3,-44,0,1
269,28,-27,0,1
240,17,-44,0,4
219,8,-23,0,2
218,7,-3,0,1
292,41,-3,0,3
213,6,-39,0,2
300,44,-34,0,2
296,42,-11,0,2
299,43,-19,0,1
252,23,-38,0,3
298,43,-34,0,1
231,13,-40,0,2
285,35,-13,0,3
211,5,-42,0,4
277,31,-25,0,3
234,14,-42,0,1
241,17,-42,0,2
212,6,-35,0,1
224,9,-19,0,4
245,19,-27,0,3
289,40,-33,0,4
228,12,-5,0,2
274,30,-18,0,2
302,44,-4,0,2
210,5,-19,0,3
295,42,-12,0,3
291,40,-32,0,3
232,14,-45,0,1
270,28,-15,0,2
273,30,-29,0,1
272,29,-35,0,1
244,18,-40,0,2
258,25,-7,0,2
243,18,-41,0,3
233,14,-44,0,2
